state,state_code,indicator,nfhs5_urban,nfhs5_rural,nfhs5_total,nfhs4_total
Goa,GA,128. Women age 15 years and above who use any kind of tobacco (%),2.4,2.8,2.6,
Goa,GA,129. Men age 15 years and above who use any kind of tobacco (%),19.5,16.3,18.2,
Goa,GA,130. Women age 15 years and above who consume alcohol (%),5.6,5.3,5.5,
Goa,GA,131. Men age 15 years and above who consume alcohol (%),38.2,34.9,36.9,
Gujarat,GJ,1. Female population age 6 years and above who ever attended school (%),83.7,65.4,72.9,72.0
Gujarat,GJ,2. Population below age 15 years (%),22.2,25.3,24.0,26.0
Gujarat,GJ,"3. Sex ratio of the total population (females per 1,000 males)",929.0,991.0,965.0,950.0
Gujarat,GJ,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",931.0,969.0,955.0,906.0
Gujarat,GJ,5. Children under age 5 years whose birth was registered with the civil authority (%),98.7,96.7,97.5,95.8
Gujarat,GJ,6. Deaths in the last 3 years registered with the civil authority (%),95.7,91.6,93.0,
Gujarat,GJ,7. Population living in households with electricity (%),99.4,96.2,97.6,96.2
Gujarat,GJ,8. Population living in households with an improved drinking-water source1 (%),99.4,95.7,97.2,95.9
Gujarat,GJ,9. Population living in households that use an improved sanitation facility2 (%),89.3,63.3,74.0,63.6
Gujarat,GJ,10. Households using clean fuel for cooking3 (%),94.3,46.1,66.9,52.6
Gujarat,GJ,11. Households using iodized salt (%),97.4,94.3,95.6,95.5
Gujarat,GJ,12. Households with any usual member covered under a health insurance/financing scheme (%),36.3,41.1,39.0,23.1
Gujarat,GJ,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),8.7,5.8,6.9,
Gujarat,GJ,14. Women who are literate4 (%),86.8,69.0,76.5,
Gujarat,GJ,15. Men who are literate4 (%),95.4,87.5,90.9,
Gujarat,GJ,16. Women with 10 or more years of schooling (%),47.9,23.6,33.8,33.0
Gujarat,GJ,17. Men with 10 or more years of schooling (%),56.9,36.9,45.6,43.0
Gujarat,GJ,18. Women who have ever used the internet (%),48.9,17.5,30.8,
Gujarat,GJ,19. Men who have ever used the internet (%),72.9,48.0,58.9,
Gujarat,GJ,20. Women age 20-24 years married before age 18 years (%),14.2,26.9,21.8,24.9
Gujarat,GJ,21. Men age 25-29 years married before age 21 years (%),18.7,33.9,27.7,28.4
Gujarat,GJ,22. Total fertility rate (children per woman),1.7,2.0,1.9,2.0
Gujarat,GJ,23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.6,6.7,5.2,6.5
Gujarat,GJ,24. Adolescent fertility rate for women age 15-19 years5,24.0,40.0,34.0,41.0
Gujarat,GJ,25. Neonatal mortality rate (NNMR),16.8,24.8,21.8,26.8
Gujarat,GJ,26. Infant mortality rate (IMR),24.1,35.5,31.2,34.2
Gujarat,GJ,27. Under-five mortality rate (U5MR),26.7,44.2,37.6,43.5
Gujarat,GJ,28. Any method6 (%),69.5,62.2,65.3,46.9
Gujarat,GJ,29. Any modern method6 (%),54.0,53.3,53.6,43.1
Gujarat,GJ,30. Female sterilization (%),29.1,40.8,35.9,33.6
Gujarat,GJ,31. Male sterilization (%),0.1,0.2,0.2,0.1
Gujarat,GJ,32. IUD/PPIUD (%),4.2,2.4,3.1,3.0
Gujarat,GJ,33. Pill (%),3.1,1.8,2.3,1.4
Gujarat,GJ,34. Condom (%),16.8,7.5,11.4,4.9
Gujarat,GJ,35. Injectables (%),0.1,0.1,0.1,0.0
Gujarat,GJ,36. Total unmet need7 (%),9.7,10.8,10.3,17.0
Gujarat,GJ,37. Unmet need for spacing7 (%),4.0,4.8,4.5,6.7
Gujarat,GJ,38. Health worker ever talked to female non-users about family planning (%),31.5,28.8,29.8,18.9
Gujarat,GJ,39. Current users ever told about side effects of current method8 (%),78.1,71.8,74.1,47.0
Gujarat,GJ,40. Mothers who had an antenatal check-up in the first trimester (%),83.7,76.4,79.3,73.8
Gujarat,GJ,41. Mothers who had at least 4 antenatal care visits (%),82.4,73.3,76.9,70.5
Gujarat,GJ,42. Mothers whose last birth was protected against neonatal tetanus9 (%),91.4,87.6,89.1,86.6
Gujarat,GJ,43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),62.0,58.7,60.0,36.8
Gujarat,GJ,44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),45.5,41.8,43.2,18.5
Gujarat,GJ,45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.7,98.3,97.7,89.0
Gujarat,GJ,46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),93.1,87.5,89.7,63.3
Gujarat,GJ,47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),2027.0,1535.0,1697.0,2136.0
Gujarat,GJ,48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),2.4,7.7,6.9,3.7
Gujarat,GJ,49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),91.8,86.6,88.7,
Gujarat,GJ,50. Institutional births (%),97.8,92.2,94.3,88.5
Gujarat,GJ,51. Institutional births in public facility (%),36.6,47.3,43.3,32.6
Gujarat,GJ,52. Home births that were conducted by skilled health personnel10 (%),1.1,1.9,1.6,2.2
Gujarat,GJ,53. Births attended by skilled health personnel10 (%),96.8,91.1,93.2,87.1
Gujarat,GJ,54. Births delivered by caesarean section (%),30.7,15.3,21.0,18.4
Gujarat,GJ,55. Births in a private health facility that were delivered by caesarean section (%),38.0,25.0,30.8,26.6
Gujarat,GJ,56. Births in a public health facility that were delivered by caesarean section (%),20.3,8.8,12.4,10.8
Gujarat,GJ,57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),77.0,75.9,76.3,50.4
Gujarat,GJ,58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),82.9,86.2,85.0,78.9
Gujarat,GJ,59. Children age 12-23 months who have received BCG (%),95.6,94.2,94.7,87.9
Gujarat,GJ,60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),79.7,79.5,79.6,62.3
Gujarat,GJ,61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),85.2,86.6,86.1,72.7
Gujarat,GJ,62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),88.5,85.8,86.8,75.0
Gujarat,GJ,63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),24.3,29.0,27.3,
Gujarat,GJ,64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),2.9,1.8,2.2,
Gujarat,GJ,65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),85.0,84.9,84.9,38.6
Gujarat,GJ,66. Children age 9-35 months who received a vitamin A dose in the last 6 months (%),86.8,84.8,85.6,74.7
Gujarat,GJ,67. Children age 12-23 months who received most of their vaccinations in a public health facility (%),83.4,97.4,92.1,87.1
Gujarat,GJ,68. Children age 12-23 months who received most of their vaccinations in a private health facility (%),16.4,2.3,7.6,12.6
Gujarat,GJ,69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.7,9.7,8.2,8.4
Gujarat,GJ,70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),69.8,65.4,66.5,46.2
Gujarat,GJ,71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),31.7,36.8,35.4,17.4
Gujarat,GJ,72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),70.5,69.3,69.6,65.4
Gujarat,GJ,73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.9,1.1,1.0,1.4
Gujarat,GJ,74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),76.0,74.8,75.2,70.2
Gujarat,GJ,75. Children under age 3 years breastfed within one hour of birth15 (%),34.4,39.9,37.8,49.9
Gujarat,GJ,76. Children under age 6 months exclusively breastfed16 (%),70.3,62.4,65.0,55.8
Gujarat,GJ,77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),40.8,42.6,42.0,49.4
Gujarat,GJ,"78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",6.5,5.6,5.9,5.8
Gujarat,GJ,"79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",7.2,5.1,6.0,2.8
Gujarat,GJ,"80. Total children age 6-23 months receiving an adequate diet16, 17  (%)",6.6,5.5,5.9,5.2
Gujarat,GJ,81. Children under 5 years who are stunted (height-for-age)18 (%),32.4,43.0,39.0,38.5
Gujarat,GJ,82. Children under 5 years who are wasted (weight-for-height)18 (%),22.4,26.7,25.1,26.4
Gujarat,GJ,83. Children under 5 years who are severely wasted (weight-for-height)19 (%),9.7,11.1,10.6,9.5
Gujarat,GJ,84. Children under 5 years who are underweight (weight-for-age)18 (%),33.3,43.5,39.7,39.3
Gujarat,GJ,85. Children under 5 years who are overweight (weight-for-height)20 (%),4.6,3.5,3.9,1.9
Gujarat,GJ,86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),17.2,30.9,25.2,27.2
Gujarat,GJ,87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),16.0,24.7,20.9,24.7
Gujarat,GJ,88. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),30.4,17.0,22.6,23.7
Gujarat,GJ,89. Men who are overweight or obese (BMI ≥25.0 kg/m2) (%),25.6,15.6,19.9,19.7
Gujarat,GJ,90. Women who have high risk waist-to-hip ratio (≥0.85) (%),47.2,41.2,43.7,
Gujarat,GJ,91. Men who have high risk waist-to-hip ratio (≥0.90) (%),43.3,39.0,40.9,
Gujarat,GJ,92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),77.6,81.2,79.7,62.6
Gujarat,GJ,93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),61.4,67.7,65.1,55.1
Gujarat,GJ,94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),55.6,66.4,62.6,51.3
Gujarat,GJ,95. All women age 15-49 years who are anaemic22 (%),61.3,67.6,65.0,54.9
Gujarat,GJ,96. All women age 15-19 years who are anaemic22 (%),63.0,72.3,69.0,56.5
Gujarat,GJ,97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%),23.3,29.1,26.6,21.6
Gujarat,GJ,98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%),31.5,39.2,36.0,31.9
Gujarat,GJ,99. Blood sugar level - high (141-160 mg/dl)23 (%),8.4,7.9,8.1,
Gujarat,GJ,100. Blood sugar level - very high (>160 mg/dl)23 (%),7.6,6.1,6.7,
Gujarat,GJ,101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),17.6,14.6,15.8,
Gujarat,GJ,102. Blood sugar level - high (141-160 mg/dl)23 (%),9.5,8.5,9.0,
Gujarat,GJ,103. Blood sugar level - very high (>160 mg/dl)23 (%),7.3,6.9,7.1,
Gujarat,GJ,104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),17.8,16.2,16.9,
Gujarat,GJ,105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.4,12.0,11.7,
Gujarat,GJ,106. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),3.8,5.1,4.6,
Gujarat,GJ,107. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),21.1,20.1,20.6,
Gujarat,GJ,108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.7,13.3,13.1,
Gujarat,GJ,109. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),3.9,4.8,4.4,
Gujarat,GJ,110. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),20.3,20.3,20.3,
Gujarat,GJ,111. Ever undergone a screening test for cervical cancer (%),0.3,0.2,0.2,
Gujarat,GJ,112. Ever undergone a breast examination for breast cancer (%),0.1,0.1,0.1,
Gujarat,GJ,113. Ever undergone an oral cavity examination for oral cancer (%),0.2,0.2,0.2,
Gujarat,GJ,114. Ever undergone an oral cavity examination for oral cancer (%),0.5,0.9,0.7,
Gujarat,GJ,115. Women who have comprehensive knowledge24 of HIV/AIDS (%),36.3,22.8,28.5,18.4
Gujarat,GJ,116. Men who have comprehensive knowledge24 of HIV/AIDS (%),40.7,31.9,35.7,31.5
Gujarat,GJ,117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),79.1,57.6,66.7,43.2
Gujarat,GJ,118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),89.1,77.5,82.5,68.6
Gujarat,GJ,119. Currently married women who usually participate in three household decisions25 (%),94.4,90.7,92.2,85.4
Gujarat,GJ,120. Women who worked in the last 12 months and were paid in cash (%),26.4,34.1,30.8,30.2
Gujarat,GJ,121. Women owning a house and/or land (alone or jointly with others) (%),41.6,43.3,42.6,27.2
Gujarat,GJ,122. Women having a bank or savings account that they themselves use (%),73.5,67.5,70.0,48.6
Gujarat,GJ,123. Women having a mobile phone that they themselves use (%),66.0,36.2,48.8,47.9
Gujarat,GJ,124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%),77.6,58.6,65.8,60.3
Gujarat,GJ,125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%),10.0,16.8,14.0,20.2
Gujarat,GJ,126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),2.2,1.2,1.6,1.9
Gujarat,GJ,127. Young women age 18-29 years who experienced sexual violence by age 18 (%),3.0,4.0,3.6,5.2
Gujarat,GJ,128. Women age 15 years and above who use any kind of tobacco (%),5.4,11.0,8.7,
Gujarat,GJ,129. Men age 15 years and above who use any kind of tobacco (%),33.6,46.7,41.1,
Gujarat,GJ,130. Women age 15 years and above who consume alcohol (%),0.3,0.8,0.6,
Gujarat,GJ,131. Men age 15 years and above who consume alcohol (%),4.6,6.8,5.8,
Himachal Pradesh,HP,1. Female population age 6 years and above who ever attended school (%),92.4,79.3,81.0,79.0
Himachal Pradesh,HP,2. Population below age 15 years (%),20.7,22.0,21.8,24.6
Himachal Pradesh,HP,"3. Sex ratio of the total population (females per 1,000 males)",936.0,1057.0,1040.0,1078.0
Himachal Pradesh,HP,"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",843.0,880.0,875.0,937.0
Himachal Pradesh,HP,5. Children under age 5 years whose birth was registered with the civil authority (%),97.9,97.9,97.9,95.3
Himachal Pradesh,HP,6. Deaths in the last 3 years registered with the civil authority (%),95.8,93.7,94.0,
Himachal Pradesh,HP,7. Population living in households with electricity (%),99.0,99.5,99.5,99.5
Himachal Pradesh,HP,8. Population living in households with an improved drinking-water source1 (%),98.4,95.9,96.2,94.9
Himachal Pradesh,HP,9. Population living in households that use an improved sanitation facility2 (%),85.0,81.3,81.8,72.3
Himachal Pradesh,HP,10. Households using clean fuel for cooking3 (%),94.7,44.5,51.7,36.7
Himachal Pradesh,HP,11. Households using iodized salt (%),99.0,99.1,99.1,99.1
Himachal Pradesh,HP,12. Households with any usual member covered under a health insurance/financing scheme (%),37.1,34.1,34.5,25.8
Himachal Pradesh,HP,13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),12.3,3.4,4.6,
Himachal Pradesh,HP,14. Women who are literate4 (%),95.0,91.2,91.7,
Himachal Pradesh,HP,15. Men who are literate4 (%),91.7,95.4,94.9,
Himachal Pradesh,HP,16. Women with 10 or more years of schooling (%),79.8,63.8,65.9,59.4
Himachal Pradesh,HP,17. Men with 10 or more years of schooling (%),78.7,70.1,71.3,71.2
Himachal Pradesh,HP,18. Women who have ever used the internet (%),78.9,45.2,49.7,
Himachal Pradesh,HP,19. Men who have ever used the internet (%),83.7,65.1,67.9,
Himachal Pradesh,HP,20. Women age 20-24 years married before age 18 years (%),7.2,5.1,5.4,8.6
Himachal Pradesh,HP,21. Men age 25-29 years married before age 21 years (%),,4.1,4.6,7.3
Himachal Pradesh,HP,22. Total fertility rate (children per woman),1.4,1.7,1.7,1.9
Himachal Pradesh,HP,23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.5,3.3,3.4,2.6
Himachal Pradesh,HP,24. Adolescent fertility rate for women age 15-19 years5,21.0,22.0,22.0,25.0
Himachal Pradesh,HP,25. Neonatal mortality rate (NNMR),,21.3,20.5,25.5
Himachal Pradesh,HP,26. Infant mortality rate (IMR),,27.1,25.6,34.3
Himachal Pradesh,HP,27. Under-five mortality rate (U5MR),,30.9,28.9,37.6
Himachal Pradesh,HP,28. Any method6 (%),75.2,74.1,74.2,57.0
Himachal Pradesh,HP,29. Any modern method6 (%),59.3,64.0,63.4,52.1
Himachal Pradesh,HP,30. Female sterilization (%),21.7,40.2,37.7,34.5
Himachal Pradesh,HP,31. Male sterilization (%),2.5,3.5,3.3,2.4
Himachal Pradesh,HP,32. IUD/PPIUD (%),0.9,1.2,1.1,0.9
Himachal Pradesh,HP,33. Pill (%),2.0,1.4,1.5,1.5
Himachal Pradesh,HP,34. Condom (%),31.9,17.3,19.2,12.7
Himachal Pradesh,HP,35. Injectables (%),0.0,0.1,0.1,0.1
Himachal Pradesh,HP,36. Total unmet need7 (%),9.3,7.7,7.9,15.7
Himachal Pradesh,HP,37. Unmet need for spacing7 (%),3.7,2.6,2.8,4.8
Himachal Pradesh,HP,38. Health worker ever talked to female non-users about family planning (%),17.3,19.5,19.3,15.8
Himachal Pradesh,HP,39. Current users ever told about side effects of current method8 (%),67.2,57.1,58.1,40.1
Himachal Pradesh,HP,40. Mothers who had an antenatal check-up in the first trimester (%),81.6,71.2,72.4,70.5
Himachal Pradesh,HP,41. Mothers who had at least 4 antenatal care visits (%),77.3,69.3,70.3,69.1
Himachal Pradesh,HP,42. Mothers whose last birth was protected against neonatal tetanus9 (%),86.7,90.5,90.0,86.2
Himachal Pradesh,HP,43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),72.9,66.4,67.2,49.4
Himachal Pradesh,HP,44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),44.4,42.8,43.0,22.7
Himachal Pradesh,HP,45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.8,98.8,98.7,95.4
Himachal Pradesh,HP,46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),88.8,86.0,86.3,70.2
Himachal Pradesh,HP,47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),9411.0,3138.0,3760.0,3329.0
Himachal Pradesh,HP,48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),,8.2,7.6,1.5
Himachal Pradesh,HP,49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.5,85.5,86.0,
Himachal Pradesh,HP,50. Institutional births (%),93.1,87.6,88.2,76.4
Himachal Pradesh,HP,51. Institutional births in public facility (%),64.2,72.7,71.7,61.6
Himachal Pradesh,HP,52. Home births that were conducted by skilled health personnel10 (%),0.8,1.8,1.7,3.4
Himachal Pradesh,HP,53. Births attended by skilled health personnel10 (%),90.3,86.6,87.1,78.9
Himachal Pradesh,HP,54. Births delivered by caesarean section (%),26.2,20.3,21.0,16.7
Himachal Pradesh,HP,55. Births in a private health facility that were delivered by caesarean section (%),46.7,52.6,51.4,44.4
Himachal Pradesh,HP,56. Births in a public health facility that were delivered by caesarean section (%),19.8,17.2,17.4,16.4
Himachal Pradesh,HP,57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),94.1,88.5,89.3,69.5
Himachal Pradesh,HP,58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),100.0,95.8,96.4,85.4
Himachal Pradesh,HP,59. Children age 12-23 months who have received BCG (%),97.7,98.2,98.2,94.8
Himachal Pradesh,HP,60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%),95.4,89.3,90.1,82.4
Himachal Pradesh,HP,61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),94.1,96.4,96.1,85.0
Himachal Pradesh,HP,62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),96.4,95.9,95.9,87.5
Himachal Pradesh,HP,63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),30.6,44.2,42.4,
Himachal Pradesh,HP,64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),73.4,90.0,87.9,
Himachal Pradesh,HP,65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),94.1,96.6,96.3,74.1
Himachal Pradesh,HP,66. Children age 9-35 months who received a vitamin A dose in the last 6 months (%),71.6,78.1,77.3,72.1
Himachal Pradesh,HP,67. Children age 12-23 months who received most of their vaccinations in a public health facility (%),93.6,98.1,97.5,97.9
Himachal Pradesh,HP,68. Children age 12-23 months who received most of their vaccinations in a private health facility (%),5.1,1.3,1.8,1.9
Himachal Pradesh,HP,69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.6,4.9,4.7,6.6
Himachal Pradesh,HP,70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),,74.6,73.7,62.7
Himachal Pradesh,HP,71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),,19.8,19.5,15.0
Himachal Pradesh,HP,72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),,69.5,67.9,67.7
Himachal Pradesh,HP,73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.0,1.1,1.5,1.6
Himachal Pradesh,HP,74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),67.3,77.9,76.2,78.4
Himachal Pradesh,HP,75. Children under age 3 years breastfed within one hour of birth15 (%),43.8,45.3,45.1,41.1
Himachal Pradesh,HP,76. Children under age 6 months exclusively breastfed16 (%),,71.3,69.9,67.2
Himachal Pradesh,HP,77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%),,69.5,68.3,52.9
Himachal Pradesh,HP,"78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",15.1,18.5,18.0,11.2
Himachal Pradesh,HP,"79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",,23.2,21.6,10.0
Himachal Pradesh,HP,"80. Total children age 6-23 months receiving an adequate diet16, 17  (%)",14.4,19.7,19.0,10.9
Himachal Pradesh,HP,81. Children under 5 years who are stunted (height-for-age)18 (%),27.0,31.3,30.8,26.3
Himachal Pradesh,HP,82. Children under 5 years who are wasted (weight-for-height)18 (%),16.2,17.6,17.4,13.7
Himachal Pradesh,HP,83. Children under 5 years who are severely wasted (weight-for-height)19 (%),6.3,7.0,6.9,3.9
Himachal Pradesh,HP,84. Children under 5 years who are underweight (weight-for-age)18 (%),24.6,25.6,25.5,21.2
Himachal Pradesh,HP,85. Children under 5 years who are overweight (weight-for-height)20 (%),5.4,5.7,5.7,1.9
Himachal Pradesh,HP,86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),9.8,14.5,13.9,16.2
Himachal Pradesh,HP,87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),6.6,12.7,11.8,18.0
Himachal Pradesh,HP,88. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),38.3,29.2,30.4,28.6
Himachal Pradesh,HP,89. Men who are overweight or obese (BMI ≥25.0 kg/m2) (%),35.7,29.8,30.6,22.0
Himachal Pradesh,HP,90. Women who have high risk waist-to-hip ratio (≥0.85) (%),60.3,62.1,61.9,
Himachal Pradesh,HP,91. Men who have high risk waist-to-hip ratio (≥0.90) (%),61.2,50.8,52.3,
Himachal Pradesh,HP,92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),58.2,55.0,55.4,53.7
Himachal Pradesh,HP,93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%),51.6,53.6,53.4,53.6
Himachal Pradesh,HP,94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),,43.9,42.2,50.4
Himachal Pradesh,HP,95. All women age 15-49 years who are anaemic22 (%),51.0,53.3,53.0,53.5
Himachal Pradesh,HP,96. All women age 15-19 years who are anaemic22 (%),59.8,52.3,53.2,52.7
Himachal Pradesh,HP,97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%),8.6,20.3,18.6,20.1
Himachal Pradesh,HP,98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%),,22.4,22.1,25.0
Himachal Pradesh,HP,99. Blood sugar level - high (141-160 mg/dl)23 (%),6.8,6.3,6.4,
Himachal Pradesh,HP,100. Blood sugar level - very high (>160 mg/dl)23 (%),7.1,6.3,6.4,
Himachal Pradesh,HP,101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),15.4,13.7,13.9,
Himachal Pradesh,HP,102. Blood sugar level - high (141-160 mg/dl)23 (%),7.9,6.6,6.8,
Himachal Pradesh,HP,103. Blood sugar level - very high (>160 mg/dl)23 (%),7.7,6.5,6.7,
Himachal Pradesh,HP,104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%),18.3,14.2,14.7,
Himachal Pradesh,HP,105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),9.5,12.2,11.9,
Himachal Pradesh,HP,106. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),4.9,5.1,5.1,
Himachal Pradesh,HP,107. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),22.1,22.2,22.2,
Himachal Pradesh,HP,108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),18.0,16.2,16.5,
Himachal Pradesh,HP,109. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),6.0,4.7,4.9,
Himachal Pradesh,HP,110. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),29.1,23.6,24.4,
Himachal Pradesh,HP,111. Ever undergone a screening test for cervical cancer (%),3.4,0.5,0.9,
Himachal Pradesh,HP,112. Ever undergone a breast examination for breast cancer (%),1.5,0.3,0.4,
Himachal Pradesh,HP,113. Ever undergone an oral cavity examination for oral cancer (%),0.0,0.3,0.3,
Himachal Pradesh,HP,114. Ever undergone an oral cavity examination for oral cancer (%),2.6,0.8,1.1,
Himachal Pradesh,HP,115. Women who have comprehensive knowledge24 of HIV/AIDS (%),46.1,34.7,36.2,30.9
Himachal Pradesh,HP,116. Men who have comprehensive knowledge24 of HIV/AIDS (%),46.9,39.8,40.8,44.5
Himachal Pradesh,HP,117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),92.7,74.1,76.6,68.6
Himachal Pradesh,HP,118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),90.4,84.6,85.5,89.0
Himachal Pradesh,HP,119. Currently married women who usually participate in three household decisions25 (%),93.8,93.9,93.9,90.8
Himachal Pradesh,HP,120. Women who worked in the last 12 months and were paid in cash (%),36.3,17.7,20.2,17.0
Himachal Pradesh,HP,121. Women owning a house and/or land (alone or jointly with others) (%),21.1,23.4,23.1,11.3
Himachal Pradesh,HP,122. Women having a bank or savings account that they themselves use (%),88.8,82.2,83.1,68.8
